ORF_position_within_operon	n	Organism	ORF_position_within_operon_str
1	627	Escherichia_coli_str_k_12_substr_mg1655	ORF_1
2	627	Escherichia_coli_str_k_12_substr_mg1655	ORF_2
3	293	Escherichia_coli_str_k_12_substr_mg1655	ORF_3
4	172	Escherichia_coli_str_k_12_substr_mg1655	ORF_4
5	104	Escherichia_coli_str_k_12_substr_mg1655	ORF_5
6	63	Escherichia_coli_str_k_12_substr_mg1655	ORF_6
7	33	Escherichia_coli_str_k_12_substr_mg1655	ORF_7
8	19	Escherichia_coli_str_k_12_substr_mg1655	ORF_8
9	15	Escherichia_coli_str_k_12_substr_mg1655	ORF_9
10	10	Escherichia_coli_str_k_12_substr_mg1655	ORF_10
11	9	Escherichia_coli_str_k_12_substr_mg1655	ORF_11
12	5	Escherichia_coli_str_k_12_substr_mg1655	ORF_12
13	4	Escherichia_coli_str_k_12_substr_mg1655	ORF_13
14	3	Escherichia_coli_str_k_12_substr_mg1655	ORF_14
15	3	Escherichia_coli_str_k_12_substr_mg1655	ORF_15
16	3	Escherichia_coli_str_k_12_substr_mg1655	ORF_16
17	2	Escherichia_coli_str_k_12_substr_mg1655	ORF_17
18	1	Escherichia_coli_str_k_12_substr_mg1655	ORF_18
19	1	Escherichia_coli_str_k_12_substr_mg1655	ORF_19
